word,spell
های وهو,/hāyohu/
روارو,/rovāro[w]/
چمن افروز,/čaman[']afruz/
چمن آرا,/čaman[']ārā/
اسلاف,/'aslāf/
تعجب آور,/ta'ajjob[']āvar/
فخاری,/faxxāri/
فخامت,/faxāmat/
متعامل,/mote(a)'āmel/
عامی,/'ām[m]i/
سمو,/samu/
عامیانه,/'āmiyāne/
پی,/pey/
یک شنبه,/yekšambe/
اوتاد,/'o[w]tād/
جماعت,/jamā'at/
یکسون,/yeksun/
اوت,/'o[w]t/
جماع,/jemā'/
اورده,/'o[w]rede/
بی غرض,/biqaraz/
گور,/gur/
بیغاره,/beyqāre/
گودره,/go[w]dare/
بوافزار,/bu'afzār/
هنرورز,/honarvarz/
مصونیت,/masuniy[y]at/
بواقی,/bavāqi/
سپاروک,/sapāruk/
سزار,/sezār/
پردازنده,/pardāzande/
سزارین,/sezāriyan/
پردازگر,/pardāzgar/
خوش دامن,/xošdāman/
خوش خیم,/xošxim/
آهن دل,/'āhandel/
کهنه کار,/kohnekār/
کهور,/kahur/
حسر,/hasar/
اعماق,/'a'māq/
شارلاتان,/šārlātān/
حسدپیشه,/hasadpiše/
شارمار,/šārmār/
جوزقه,/jo[w]zaqe/
فتنه زا,/fetnezā/
جوزگره,/jo[w]zgereh/
داهی,/dāhi/
داهم,/dāhem/
فراست,/farāsat/
مسوار,/mesvār/
مسنن,/mosannen/
قسام,/qassām/
قسامه,/qasāme/
بیوه,/bive/
کشف الآیات,/kašfol'āyāt/
رتاتیو,/rotātiv/
لف,/laf[f]/
امت,/'ommat/
سکوت,/sokut/
خف,/xaf/
مغایرت,/moqāyerat/
امتثال,/'emtesāl/
مغایظت,/moqāyezat/
خطیئت,/xati'at/
سکوبا,/sokubā/
جادوخیال,/jāduxiyāl/
چشفر,/češfar/
بنفسج,/banafsaj/
چشش,/češeš/
جادوجنبل,/jādujambal/
ملسون,/malsun/
ملصق,/molsaq/
تاک,/tāk/
بنصر,/benser/
نورافشان,/nur[']afšān/
نوراستنی,/norāsteni/
تعب,/ta'ab/
تعاهد,/ta'āhod/
نافرجام,/nāfarjām/
شامه,/šāme/
شامل,/šāmel/
دورسنج,/dursanj/
مغلغل,/moqalqal/
نافر,/nāfer/
بنوت,/bonovvat/
عثور,/'asur/
مناقب,/manāqeb/
منافی,/monāfi/
بنوان,/bonvān/
مغلظه,/moqallaze/
پوکه,/puke/
تلیین,/talyin/
تلید,/talid/
برچیدگی,/barčidegi/
ملعونه,/mal'une/
برچیدن,/barčidan/
ملعون,/mal'un/
هزج,/hazaj/
هزت,/hazzat/
نجیب الطرفین,/najibottarafeyn/
سینه بند,/sineband/
نجیبانه,/najibāne/
سینه,/sine/
سگاله,/sagāle/
سگالنده,/segālande/
یراع,/yarā'/
ضنت,/ze(a)nnat/
مورچه خوار,/murčexār/
شهبا,/šahbā/
یراعه,/yarā'e/
مورچه,/murče/
لاننده,/lānande/
لانولین,/lānolin/
بئر,/be'r/
بیژه,/biže/
ناراستی,/nārāsti/
ناراست,/nārāst/
طنان,/tannān/
نسود,/nasud/
مابعدالطبیعه,/māba'dottabi'e/
سوی,/savi[y]/
نسوان,/nesvān/
زلفین,/zolfin/
زلفک,/zolfak/
زالوک,/zāluk/
نفت خیز,/naftxiz/
سوهانگر,/so[w]hāngar/
سوفار,/sufār/
یده,/yade/
زشت کار,/zeštkār/
یدوفرم,/yodoform/
توژ,/tuž/
زغارو,/zaqāru/
بطی,/bati'/
بطیالانتقال,/bati'ol'enteqāl/
فرمان,/farmān/
آبرودار,/'āb[e]rudār/
فرمالیسم,/formālism/
شوی,/šavi[y]/
غزا,/qazā/
تشمیم,/tašmim/
تشن,/tašan/
الکل سنج,/'alkolsanj/
الکل,/'alkol/
حیص وبیص,/heysobeys/
