word,spell
لولیدن,/lulidan/
نارکند,/nārkand/
نارسید,/nāre(a)sid/
کالوج,/kāluj/
زراغن,/zarāqan/
کالنجه,/kāle(a)nje/
پتفوز,/patfuz/
انجامیدن,/'anjāmidan/
مقاتل,/maqātel/
خراج,/xarāj/
انجامش,/'anjāmeš/
تاغ,/tāq/
مردنگی,/mardangi/
پتروشیمی,/petrošimi/
بوکسور,/boksor/
عمد,/'amd/
تاصل,/ta'assol/
اثرم,/'asram/
عمایم,/'amāyem/
ثفنه,/safene/
کنشت,/ke(o)nešt/
اثر,/'asar/
تندرویی,/tondruy(')i/
اجداد,/'ajdād/
اجحاف,/'ejhāf/
دخت اندر,/doxt[']andar/
خودبین,/xodbin/
دخت,/doxt/
قلنسوه,/qalansove/
آشخال,/'āšxāl/
خودآرایی,/xod[']ārāy(')i/
ریحانی,/reyhāni/
آشتی کنان,/'āštikonān/
رایحه,/rāyehe/
زجاج,/zajjāj/
راید,/rāyed/
زجاجه,/zojāje/
رمز,/ramz/
ناگاه گیر,/nāgāhgir/
صبوری,/saburi/
گیوه دوز,/giveduz/
نامه بر,/nāmebar/
مکار,/makkār/
مستجلب,/mostajleb/
نغن,/naq[a]n/
نغمه کش,/naqmekeš/
تخییل,/taxyil/
ملعون,/mal'un/
تخییر,/taxyir/
ظاهر,/zāher/
ملعونه,/mal'une/
تضاغن,/tazāqon/
تضامن,/tazāmon/
خشک آخور,/xošk[']āxor/
صیدبند,/seydband/
صیدگاه,/seydgāh/
پایان آبه,/pāyān[']ābe/
فریش,/fariš/
فریسه,/farise/
پایان,/pāyān/
سبک اسلحه,/sabok[']asla(e)he/
پیوندیدن,/peyvandidan/
آگاه,/'āgāh/
سمباده,/sombāde/
غنو,/qonu/
غنم,/qanam/
سبکاد,/sabkād/
یالیت,/yālayt[a]/
یورت,/yurt/
فضیل,/fazil/
نحوس,/nohus/
غسلین,/qeslin/
فضیحت,/fazihat/
لعین,/la'in/
لغ,/laq/
نحوست,/nohusat/
دندان شکن,/dandānšekan/
عرن,/'aran/
تسبیع,/tasbi'/
تسبیغ,/tasbiq/
عرم,/'arem/
کوچک ترین,/kuča(e)ktarin/
کوچک تر,/kuča(e)ktar/
ماتم پرسی,/mātamporsi/
دندان سازی,/dandānsāzi/
بگیروببند,/begirobeband/
بگیربگیر,/begirbegir/
مندور,/mandur/
مقاومت,/moqāvemat/
مندوب,/mandub/
مقایسه,/moqāyese/
یا,/yā/
ماتم,/mātam/
تیسیر,/teysir/
یااللـه,/yā'allāh/
منافق,/monāfeq/
کوتاه قد,/kutāhqad/
دیگ جوش,/digjuš/
غریب,/qarib/
دیگ پخت,/digpoxt/
بلاد,/balād/
غریب آشنا,/qarib[']āš[e]nā/
کبد,/kabad/
پیکرشناس,/peykaršenās/
بصری,/basri/
چزده,/čazde/
کولون,/ko(u)lun/
چزغ,/čezq/
اوراق,/'o[w]rāq/
کولنگ,/kulang/
بصل,/basal/
پندنیوش,/pandniyuš/
اوراشتن,/'o[w]rāštan/
سیم کشی,/simkeši/
وحول,/vohul/
بازتاب,/bāztāb/
شلیر,/šalir/
شلیدن,/šalidan/
سیم کش,/simkeš/
کوکا,/ko(u)kā/
آماسانیده,/'āmāsānide/
کوچه گرد,/kučegard/
خرده گیر,/xordegir/
خرده گاه,/xordegāh/
کواژ,/kavāž/
طخاری,/toxāri/
طرا,/torran/
نوجوان,/no[w]javān/
زجر,/zajr/
گردگیر,/gardgir/
مغایرت,/moqāyerat/
گردگاه,/ge(o)rd[e]gāh/
حاصله,/hāsele/
مستفید,/mostafid/
مغایر,/moqāyer/
حاصلخیز,/hāselxiz/
مستفسر,/mostafser/
اشبال,/'ašbāl/
متمایل,/mote(a)māyel/
عایذ,/'āyez/
عامی,/'ām[m]i/
متمتع,/mote(a)matte'/
عائذ,/'ā'ez/
اشباع,/'ešbā'/
عامه پسند,/'āmmepasand/
خاکشیر,/xāk[e]šir/
گریختن,/gorixtan/
قراسوران,/qarāsurān/
خاکشیرمزاج,/xāk[e]širme(a)zāj/
برتنگ,/bartang/
