word,spell
اسب,/'asb/
مترو,/metro/
مادر,/mādar/
تاختن,/tāxtan/
نوزاد,/no[w]zād/
پاکیزه,/pākize/
هم قطار,/hamqatār/
چراننده,/ča(e)rānande/
چرانده,/ča(e)rānde/
همکار,/hamkār/
واترپولو,/vāterpolo/
واتگر,/vātgar/
شبرم,/še(a)bram/
شبرنگ,/šabrang/
لطیمه,/latime/
نورگرایی,/nurge(a)rāyi/
لطیم,/latim/
مهانت,/mahānat/
نورسیده,/no[w]re(a)side/
مهان,/mohān/
نمایاندن,"/na(e,o)māyāndan/"
نمایان,"/na(e,o)māyān/"
حکیم باشی,/hakimbāši/
چهارده,/ča(ā)hārdah/
حکیمانه,/hakimāne/
از,/'az/
چهاردهم,/ča(ā)hārdahom/
چرب آخور,/čarb[']āxor/
اریگاتور,/'erigātor/
چرباندن,/čarbāndan/
مد,/mad/
مجمره,/mejmare/
مجمز,/mojammez/
آب آشنا,/'āb[']āš[e]nā/
فراپایه,/farāpāye/
فرابستن,/farābastan/
چارگاه,/čārgāh/
الوف,/'aluf/
پرواسیدن,/parvāsidan/
ولی,/vali/
ولی اللـه,/valiyyollāh/
الوهیت,/'oluhiy[y]at/
نوادی,/navādi/
معتزل,/mo'tazel/
دیومردم,/divmardom/
مذاکره,/mozākere/
آب شنگولی,/'ābšanguli/
معترک,/mo'tarak/
تورع,/tavarro'/
مذاق,/mazāq/
تورط,/tavarrot/
سرانه,/sarāne/
چارتخم,/čārtoxm/
تداعی,/tadā'i/
فریب کاری,/faribkāri/
چارپهلو,/čārpahlu/
نوفه,/nufe/
زیراب,/zirāb/
پیگو,/pigu/
نوفیدن,/nufidan/
اویراه,/'avirāh/
سیاه رو,/siyāhru/
زنجره,/zanja(e)re/
نواگر,/navāgar/
سیاهرگ,/siyāhrag/
داغستانی,/dāqestāni/
نواقیس,/navāqis/
غلیزبند,/qa(e)lizband/
غلیز,/qa(e)liz/
گردن,/gardan/
اگو,/'ego/
داغستان,/dāqestān/
توژ,/tuž/
پوزش خواه,/puzešxāh/
لکه,/lakke/
اگست,/'agast/
گردمشت,/gerdmošt/
لکوموتیو,/lokomotiv/
پهلونژاد,/pahlo[w]nežād/
پهلومنش,/pahlo[w]maneš/
مؤتلف,/mo'talaf/
موتت,/motet/
قدغن,/qadeqan/
فرکال,/farkāl/
ملیم,/molim/
قدسیمآب,/qodsima'āb/
زین گر,/zingar/
ار,/'ar/
سا,/sā/
ارابس,/'arābes/
رعد,/ra'd/
ملیله دوزی,/malileduzi/
باروا,/bāravā/
رعب,/ro'b/
ازت,/'azot/
شکرک,/šekarak/
شکرقند,/šekarqand/
ازبک,/'ozbak/
آفتابه لگن,/'āftābelagan/
آموزگار,/'āmuz[e]gār/
آموزشی,/'āmuzeši/
افیوس,/'afiyus/
افیمیدون,/'afimidun/
آفتابه,/'āftābe/
سسالیوس,/sesāliyus/
عرجا,/'arjā/
لک,/lak/
متحلی,/motahalli/
سرمشق,/sarmašq/
متحلل,/motahallel/
سرمستی,/sarmasti/
منتصب,/montaseb/
سکیله,/sakile/
منتشر,/montašer/
راه آموز,/rāh[']āmuz/
سکیزیدن,/sekizidan/
راه آب,/rāh[']āb/
ذکاوت,/ze(a)kāvat/
ذکات,/zakāt/
موئل,/mo[w]'el/
شسته,/šoste/
آکل,/'ākel/
تصوف,/tasavvof/
آکفت,/'ākoft/
تصور,/tasavvor/
پنبه بز,/pambebaz/
وفق,/vefq/
صدا,/se(a)dā/
فروز,/foruz/
خور,/xavar/
رایکا,/rāykā/
منخرین,/me(a)nxareyn/
ناپاکی,/nāpāki/
حتم,/hatm/
ازلیت,/'azaliy[y]at/
حتف,/hatf/
ازمابهتران,/'azmābehtarān/
ریزش,/rizeš/
نوغان,/no[w]qān/
پنیرمایه,/panirmāye/
رثاثت,/rasāsat/
مردد,/moraddad/
باز,/bāz/
گلهار,/golhār/
خیده,/xide/
مردک,/mardak/
گله بان,/gal[l]ebān/
خیدن,/xidan/
دسیس,/dasis/
رنجبر,/ranjbar/
تجار,/tojjār/
چارشنبه,/čāršambe/
فلفل بری,/felfelbari/
تجاذب,/tajāzob/
تمرگیدن,/tamargidan/
تمرن,/tamarron/
زرنیخ,/zarnix/
تعمد,/ta'ammod/
شو,/šo[w]/
پالاس,/pālās/
پالاش,/pālāš/
زرنگار,/zarnegār/
ربی,/rabbi/
ربوه,/rabve/
دارون,/dārvan/
تعلیمی,/ta'limi/
جان خانی,/jānxāni/
گشتی,/gašti/
گشته سر,/gaštesar/
مشط,"/ma(e,o)št/"
مبار,/mabār/
چارشانه,/čāršāne/
استعاذه,/'este'āze/
مشروع,/mašru'/
سریش,/seriš/
استعادت,/'este'ādat/
مبادی,/mabādi/
گشن گیری,/gošngiri/
پایا,/pāyā/
متسوق,/mota(e)savveq/
پای آگیش,/pāy[']āgiš/
متشابک,/mota(e)šābek/
یتاق,/ya(o)tāq/
افدیدن,/'afdidan/
افرا,/'afrā/
حارس,/hāres/
وشم,/vašm/
خمود,/xa(o)mud/
خزوک,/xazuk/
کرنب,"/koromb, karamb/"
چارمادر,/čārmādar/
فهارس,/fahāres/
چارگوهر,/čārgo[w]har/
خمکده,/xomkade/
فوهل,/fuhel/
اعلال,/'e'lāl/
عاصی,/'āsi/
